qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category
0,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-19,-16,153,158,0.25,hour,min,5,1,changing_area
1,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-10,-7,-54,-49,0.25,hour,max,5,1,changing_area
2,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,27,30,-173,-168,0.25,hour,mean,5,1,changing_area
3,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-86,-71,-102,-77,0.25,hour,min,5,25,changing_area
4,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-53,-38,141,166,0.25,hour,max,5,25,changing_area
5,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-61,-46,-37,-12,0.25,hour,mean,5,25,changing_area
6,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,15,40,13,43,0.25,hour,min,5,50,changing_area
7,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,62,87,-77,-47,0.25,hour,max,5,50,changing_area
8,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-86,-61,-88,-58,0.25,hour,mean,5,50,changing_area
9,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,49,74,-51,9,0.25,hour,min,5,100,changing_area
10,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,30,55,-180,-120,0.25,hour,max,5,100,changing_area
11,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-75,-50,-169,-109,0.25,hour,mean,5,100,changing_area
12,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,-50,-25,84,144,0.25,hour,min,1,100,changing_time
13,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,-21,4,50,110,0.25,hour,max,1,100,changing_time
14,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,-30,-5,98,158,0.25,hour,mean,1,100,changing_time
15,2m_temperature,2015-01-01 00:00:00,2017-12-31 23:00:00,13,38,-136,-76,0.25,hour,min,3,100,changing_time
16,2m_temperature,2015-01-01 00:00:00,2017-12-31 23:00:00,12,37,-72,-12,0.25,hour,max,3,100,changing_time
17,2m_temperature,2014-01-01 00:00:00,2016-12-31 23:00:00,-82,-57,-17,43,0.25,hour,mean,3,100,changing_time
18,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,39,64,14,74,0.25,hour,min,5,100,changing_time
19,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-17,8,-121,-61,0.25,hour,max,5,100,changing_time
20,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-36,-11,-24,36,0.25,hour,mean,5,100,changing_time
