qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category
0,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,62,65,20,25,0.25,hour,min,5.0,1,changing_area
1,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-21,-18,-134,-129,0.25,hour,max,5.0,1,changing_area
2,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,35,38,168,173,0.25,hour,mean,5.0,1,changing_area
3,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-75,-60,-97,-72,0.25,hour,min,5.0,25,changing_area
4,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,22,37,103,128,0.25,hour,max,5.0,25,changing_area
5,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-84,-69,117,142,0.25,hour,mean,5.0,25,changing_area
6,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,18,43,101,131,0.25,hour,min,5.0,50,changing_area
7,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,62,87,-85,-55,0.25,hour,max,5.0,50,changing_area
8,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-78,-53,-161,-131,0.25,hour,mean,5.0,50,changing_area
9,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,50,75,116,176,0.25,hour,min,5.0,100,changing_area
10,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-85,-60,-140,-80,0.25,hour,max,5.0,100,changing_area
11,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-35,-10,101,161,0.25,hour,mean,5.0,100,changing_area
12,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,-7,18,-154,-94,0.25,hour,min,1.0,100,changing_time
13,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,-55,-30,-60,0,0.25,hour,max,1.0,100,changing_time
14,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,-7,18,-99,-39,0.25,hour,mean,1.0,100,changing_time
15,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,-38,-13,22,82,0.25,hour,min,2.5,100,changing_time
16,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,64,89,11,71,0.25,hour,max,2.5,100,changing_time
17,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,-54,-29,-23,37,0.25,hour,mean,2.5,100,changing_time
18,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-36,-11,6,66,0.25,hour,min,5.0,100,changing_time
19,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-29,-4,37,97,0.25,hour,max,5.0,100,changing_time
20,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-46,-21,90,150,0.25,hour,mean,5.0,100,changing_time
21,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,8,11,6,11,0.25,year,min,5.0,1,changing_area
22,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-19,-16,115,120,0.25,year,max,5.0,1,changing_area
23,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,46,49,58,63,0.25,year,mean,5.0,1,changing_area
